lat,lng,iso2,city_ascii,admin_name
-38.9949,-73.0894,CL,Teodoro Schmidt,Araucanía
52.0220,0.2430,GB,Saffron Walden,Essex
53.3636,-6.4864,IE,Leixlip,Kildare
12.5014,-4.8992,ML,Kifosso,Sikasso
42.8901,-97.3927,US,Yankton,South Dakota
47.0178,28.7625,MD,Durlesti,Chişinău
40.5217,69.3308,TJ,Buston,Sughd
48.4617,34.7828,UA,Taromske,Dnipropetrovska Oblast
25.3579,86.7174,IN,Pipra Latif,Bihār
34.4833,135.6333,JP,Kanan,Ōsaka
42.9987,-78.1802,US,Batavia,New York
-14.7200,-56.3278,BR,Nobres,Mato Grosso
49.5200,5.7606,FR,Longwy,Grand Est
47.8081,7.3375,FR,Wittenheim,Grand Est
27.0361,84.2106,IN,Patilar,Bihār
